Daynum,Last,Lblk,Ldr,Lfga,Lfga3,Lfgm,Lfgm3,Lfta,Lftm,Lor,Lpf,Lscore,Lstl,Lto,Numot,Season,Wast,Wblk,Wdr,Wfga,Wfga3,Wfgm,Wfgm3,Wfta,Wftm,Win,Wor,Wpf,Wscore,Wstl,Wto,adv
134,16,3,19,59,28,23,10,18,13,10,17,69,6,14,0,2005,14,2,29,57,15,29,7,20,14,0,14,14,79,2,17,1324
136,7,1,22,57,20,22,7,17,10,9,20,61,7,21,0,2004,19,4,29,66,26,32,9,31,23,0,17,19,96,14,14,1181
134,4,6,18,58,15,18,2,11,5,9,18,43,7,13,0,2009,13,2,34,50,15,18,4,24,18,0,16,14,58,6,21,1287
135,13,3,28,62,26,22,7,12,10,11,22,61,6,12,0,2011,14,0,30,54,16,23,4,30,20,0,10,14,70,4,13,1427
134,13,1,17,60,37,22,12,12,8,6,16,64,3,4,0,2014,12,1,36,47,9,27,2,19,15,1,6,13,71,3,14,1291
137,12,1,14,52,15,24,4,8,7,8,14,59,11,12,0,2006,17,5,21,46,16,27,8,13,10,0,7,9,72,6,16,1163
137,16,4,13,58,26,22,8,7,5,12,19,57,2,9,0,2007,16,5,26,56,17,30,9,18,15,0,15,14,84,3,8,1438
137,14,2,16,52,15,19,9,16,14,10,19,61,7,13,0,2013,17,3,23,46,11,27,4,21,15,0,5,18,73,9,11,1181
136,10,2,21,51,13,20,4,14,11,6,15,55,4,10,0,2014,11,5,25,49,12,25,3,18,14,0,5,14,67,7,10,1196
137,15,1,20,61,25,23,8,10,6,14,16,60,6,7,0,2015,10,6,26,57,24,25,7,16,12,0,14,14,69,5,9,1328
137,9,3,21,58,25,21,9,12,6,18,26,57,5,22,0,2008,13,3,21,45,19,22,6,31,22,0,6,16,72,12,14,1397
136,16,1,17,62,31,27,10,5,3,7,24,67,8,12,0,2009,15,8,28,50,18,24,6,29,26,0,10,12,80,8,16,1437
136,8,0,20,37,15,11,4,15,9,4,16,35,5,17,0,2014,13,1,25,52,23,26,10,14,13,0,6,15,75,9,7,1458
136,12,3,26,64,16,20,4,7,7,8,15,51,10,17,0,2003,22,7,36,66,23,31,7,14,11,1,11,8,80,10,16,1436
138,20,5,27,77,30,34,11,21,16,16,25,95,5,11,2,2003,18,4,29,74,24,34,7,29,21,1,18,20,96,7,9,1211
143,15,4,27,59,23,25,10,18,11,9,16,71,6,19,0,2003,19,5,30,76,14,36,7,11,9,1,14,17,88,12,10,1323
136,15,3,20,55,19,20,7,10,6,12,16,53,6,12,0,2005,9,6,24,49,14,23,6,18,14,1,9,12,66,3,11,1429
138,15,2,17,64,30,21,6,18,15,15,22,63,9,14,0,2005,16,7,28,57,22,30,7,23,18,1,11,14,85,7,16,1412
143,17,0,11,66,23,29,10,13,10,16,17,78,10,8,0,2005,17,5,23,47,14,31,7,17,10,1,8,17,79,3,14,1329
137,19,3,15,58,20,25,10,22,15,12,17,75,4,10,0,2006,19,6,25,59,10,35,5,23,19,1,11,19,94,9,9,1458
137,16,3,19,64,32,27,8,13,9,16,22,71,7,20,0,2009,11,2,23,55,12,30,4,28,20,1,11,15,84,13,14,1428
139,3,1,18,59,23,22,3,14,10,12,18,57,7,11,0,2009,12,3,27,44,11,22,3,28,24,1,6,19,71,8,11,1156
137,16,1,23,53,15,26,6,24,17,10,24,75,7,15,0,2011,11,2,21,50,19,23,5,31,26,1,8,21,77,8,14,1272
139,13,7,23,53,11,24,3,22,18,10,17,69,5,13,0,2011,17,2,21,54,14,24,8,22,14,1,11,20,70,8,12,1400
143,10,6,18,58,14,27,5,22,18,9,20,77,5,11,0,2011,15,3,24,63,15,34,9,21,16,1,16,21,93,7,12,1181
136,7,0,14,51,27,20,8,23,16,4,20,64,7,8,0,2013,13,5,32,51,17,29,9,20,14,1,12,21,81,2,16,1125
138,12,1,22,58,18,16,5,19,14,11,14,51,7,8,0,2013,13,2,36,49,15,27,9,16,11,1,3,20,74,4,12,1217
137,7,3,19,53,17,16,7,23,20,13,17,59,8,10,0,2014,15,12,24,47,14,26,7,16,9,1,7,20,68,4,12,1451
139,13,5,28,54,16,22,6,13,11,11,14,61,3,21,0,2014,24,8,21,65,18,32,7,18,13,1,7,18,84,15,6,1211
143,4,2,19,54,14,21,4,23,18,18,20,64,2,10,0,2014,14,4,19,48,12,23,5,25,19,1,10,16,70,2,7,1361
136,5,3,11,51,12,24,5,30,19,8,19,72,5,9,0,2015,13,3,23,53,11,32,5,27,24,1,12,23,93,8,12,1411
138,9,3,19,52,17,20,5,15,13,7,17,58,4,12,0,2015,14,4,25,63,19,23,7,24,20,1,18,13,73,9,8,1326
143,9,3,23,51,17,22,3,16,13,8,16,60,7,12,0,2015,10,1,23,54,22,22,7,19,17,1,10,14,68,9,8,1462
145,16,2,26,55,22,23,10,23,19,11,17,75,8,19,0,2003,16,5,22,67,26,29,8,18,12,0,15,20,78,13,15,1242
136,12,3,22,53,11,28,5,19,15,7,15,76,4,14,0,2004,12,0,21,58,22,27,8,24,18,0,12,19,80,6,10,1371
145,21,8,25,61,18,32,7,21,18,12,10,89,11,17,1,2005,21,2,18,71,35,32,16,15,10,0,14,18,90,12,13,1228
139,15,2,14,65,17,28,5,20,17,20,19,78,7,10,0,2006,13,4,19,52,19,28,9,20,17,0,12,19,82,6,13,1437
137,16,6,23,51,15,21,4,18,17,9,23,63,6,17,0,2007,10,1,20,63,17,24,5,29,19,0,19,18,72,12,8,1345
136,12,3,21,46,15,21,6,21,17,6,14,65,3,12,0,2008,16,3,21,55,19,28,11,9,8,0,6,17,75,6,9,1452
144,15,1,17,63,24,24,7,13,9,15,13,64,5,14,0,2009,29,3,25,66,29,38,14,14,13,0,11,15,103,10,9,1257
145,14,1,23,61,21,24,4,16,11,19,12,63,3,9,0,2011,10,6,20,56,17,23,5,18,14,0,11,15,65,5,5,1163
143,7,2,21,52,18,23,6,20,18,9,20,70,6,11,0,2013,9,3,21,52,13,22,7,26,22,0,11,18,73,4,8,1326
145,8,5,26,59,12,23,5,17,12,13,17,63,2,7,1,2014,11,0,25,61,17,24,6,12,10,0,13,15,64,3,8,1458
145,8,1,19,43,6,24,2,30,28,3,22,78,5,10,0,2015,11,1,17,45,18,25,12,31,23,0,4,21,85,5,9,1458
136,7,3,29,48,18,20,6,15,9,10,23,55,2,19,0,2016,9,5,21,59,20,24,3,19,14,0,9,21,65,9,6,1455
136,11,5,22,69,28,25,7,21,14,20,18,71,2,12,0,2003,18,4,27,59,14,31,6,22,16,1,10,19,84,7,9,1272
137,13,4,20,51,17,19,6,17,13,9,16,57,5,9,0,2009,12,1,24,39,14,20,8,24,18,1,3,14,66,4,11,1396
138,11,5,14,69,15,28,4,23,16,17,21,76,7,11,0,2003,21,6,28,59,9,40,5,34,23,0,12,20,108,6,13,1242
139,17,2,17,49,35,20,13,22,14,7,17,67,2,10,0,2009,18,0,29,47,20,26,9,21,17,0,4,15,78,4,10,1393
136,17,1,21,56,15,27,8,33,23,11,18,85,2,10,0,2014,17,5,20,58,12,31,5,27,20,0,10,24,87,6,9,1400
136,17,7,42,62,28,26,9,28,22,10,23,83,2,18,2,2016,9,0,30,77,27,30,9,28,16,1,15,22,85,13,9,1345
134,19,2,26,56,29,24,9,26,20,7,24,77,6,16,1,2011,17,1,29,54,12,27,4,28,23,0,6,25,81,6,15,1421
138,9,1,25,54,25,20,8,16,13,7,14,61,1,8,0,2016,15,0,27,53,21,30,11,16,7,0,4,10,78,6,6,1235
134,5,5,20,55,21,16,2,18,10,14,22,44,3,7,0,2010,12,7,29,44,16,17,6,28,21,1,10,16,61,3,10,1457
137,8,4,15,53,19,17,4,7,6,9,19,44,7,16,0,2010,12,4,28,47,13,24,6,28,19,0,13,12,73,5,14,1181
137,14,3,16,64,24,28,10,12,6,14,23,72,8,10,0,2008,14,4,25,48,17,26,8,33,26,1,9,18,86,5,12,1231
136,7,1,23,57,24,18,7,16,10,14,15,53,5,8,0,2015,13,3,27,48,8,22,3,16,9,1,8,16,56,4,10,1459
137,13,4,20,47,12,19,2,24,15,12,15,55,4,13,0,2006,10,2,21,44,21,17,11,18,14,0,8,17,59,10,14,1137
137,5,3,16,57,20,21,3,20,15,10,20,60,5,11,0,2007,10,5,30,50,13,25,4,25,23,0,9,18,77,8,12,1425
139,11,3,13,59,18,28,5,23,16,14,13,77,5,9,0,2008,28,5,21,65,16,44,8,17,12,0,11,18,108,3,7,1314
138,17,3,19,65,25,24,8,27,22,20,23,78,9,21,0,2015,14,3,25,60,10,27,4,37,29,0,17,25,87,13,16,1314
137,11,4,21,59,24,22,6,16,13,15,19,63,8,12,1,2003,11,5,24,57,18,25,7,13,8,1,14,16,65,4,15,1386
139,5,7,23,49,23,18,8,21,18,12,23,62,7,18,0,2003,11,6,21,56,19,24,4,20,16,1,12,18,68,9,14,1448
144,15,5,26,63,22,27,10,17,14,14,19,78,5,17,0,2003,14,7,21,66,14,29,5,21,16,0,15,17,79,9,10,1393
137,11,3,21,54,21,24,2,22,14,8,18,64,5,18,0,2003,18,4,29,70,24,35,8,13,8,0,15,22,86,12,12,1257
137,10,1,17,59,23,17,6,21,14,18,19,54,4,7,0,2008,17,6,29,55,22,27,10,18,10,0,15,16,74,2,11,1400
136,6,0,22,61,15,25,4,37,25,15,23,79,8,12,0,2016,23,9,27,70,16,39,6,27,21,0,14,27,105,8,10,1242
136,20,1,29,68,31,23,6,13,7,8,20,59,7,11,0,2010,18,2,39,59,20,26,5,17,11,1,8,18,68,8,14,1358
138,16,3,17,53,13,23,6,22,16,14,18,68,9,14,0,2010,15,6,19,54,20,28,8,17,12,1,11,19,76,8,13,1330
144,14,4,19,54,22,19,6,8,5,10,12,49,1,10,0,2010,14,1,26,61,17,28,8,10,8,1,15,9,72,8,7,1388
136,16,1,16,50,30,21,10,14,8,7,17,60,7,13,0,2012,9,2,23,52,20,23,8,20,14,1,12,16,68,6,12,1355
138,13,3,21,51,15,23,5,18,12,7,16,63,6,13,0,2012,15,4,24,64,20,28,11,18,13,1,17,12,80,9,11,1160
144,10,4,18,56,15,24,3,24,19,11,15,70,7,10,0,2012,21,3,25,57,15,29,5,14,12,1,10,17,75,7,13,1462
137,7,7,20,54,21,23,4,16,10,5,31,60,9,11,0,2014,9,2,28,42,13,17,2,48,38,1,9,16,74,7,12,1304
139,11,0,14,55,24,22,5,9,6,8,19,55,4,8,0,2014,19,3,27,47,18,30,11,21,14,1,5,11,85,2,8,1166
136,11,1,21,69,28,28,8,20,15,16,15,79,9,11,0,2008,14,6,27,67,20,33,9,18,15,0,16,18,90,6,13,1345
146,14,8,20,59,18,27,5,19,12,17,21,71,8,11,0,2010,15,0,20,61,23,22,11,29,23,0,23,15,78,7,11,1181
146,15,5,18,64,14,25,4,19,16,16,32,70,5,14,0,2012,15,9,24,45,9,24,4,44,30,0,8,19,82,9,13,1246
143,10,3,22,57,15,18,2,18,14,11,16,52,5,6,0,2014,18,6,31,51,16,26,6,20,11,0,8,16,69,1,10,1458
136,14,1,28,43,19,19,7,13,11,12,13,56,2,21,0,2015,12,2,13,54,16,22,5,13,8,0,9,13,57,13,6,1209
136,16,2,18,68,16,30,6,15,9,14,24,75,9,7,0,2016,14,4,28,49,16,26,5,29,22,0,8,17,79,3,12,1463
136,9,3,18,59,19,17,4,13,6,9,16,44,8,14,0,2006,20,4,36,56,13,30,4,17,14,0,9,14,78,11,14,1417
136,10,1,15,56,26,20,6,17,9,15,16,55,6,12,0,2007,17,4,27,53,16,29,7,20,15,0,12,16,80,9,12,1207
136,12,2,24,59,23,26,8,15,10,9,21,70,7,14,0,2008,9,2,27,58,21,25,6,21,15,0,13,17,71,11,15,1181
136,12,0,16,49,22,18,6,22,16,6,21,58,7,7,0,2011,13,2,27,40,22,20,12,25,20,0,6,17,72,3,13,1458
137,16,0,14,54,27,21,10,11,7,10,15,59,3,9,0,2012,14,3,25,49,12,30,5,13,9,0,7,10,74,2,12,1207
136,7,0,14,51,27,20,8,23,16,4,20,64,7,8,0,2013,13,5,32,51,17,29,9,20,14,0,12,21,81,2,16,1112
137,12,2,23,57,25,27,8,6,5,6,22,67,4,12,0,2015,11,3,24,57,17,26,6,25,21,0,11,10,79,5,7,1438
136,9,4,14,51,15,27,7,5,1,6,21,62,9,18,0,2009,21,3,21,57,20,28,9,25,21,0,17,14,86,6,15,1181
137,15,0,20,54,17,26,4,12,5,11,13,61,5,19,0,2008,15,6,20,52,24,29,12,18,9,0,7,17,79,10,16,1257
135,14,1,18,53,18,26,7,18,12,11,13,71,3,10,0,2013,16,1,19,49,21,31,11,12,7,0,3,16,80,4,10,1247
135,10,1,21,55,20,22,6,10,5,12,18,55,5,9,0,2015,13,1,22,42,21,20,7,14,9,0,3,14,56,4,11,1173
137,12,0,17,50,18,19,3,10,10,9,12,51,2,8,0,2004,20,3,21,44,4,23,3,11,9,1,4,13,58,4,8,1428
136,17,2,18,71,30,25,10,10,5,16,19,65,11,17,0,2005,24,6,33,52,12,30,8,25,17,1,8,14,85,8,19,1335
136,18,2,23,63,25,26,10,18,14,14,22,76,4,15,2,2006,22,2,23,57,23,29,6,29,24,1,7,16,88,12,8,1334
138,19,3,23,55,20,20,7,11,9,6,13,56,3,7,0,2006,16,9,29,63,17,27,8,9,7,1,15,11,69,2,8,1285
136,11,0,16,65,17,30,7,9,8,11,15,75,4,6,0,2007,16,9,24,57,20,30,8,20,16,1,11,10,84,3,8,1403
139,14,2,19,44,13,20,5,15,9,11,14,54,11,22,0,2004,15,1,16,51,18,23,6,6,5,0,8,17,57,12,17,1210
138,16,2,21,50,11,23,4,35,25,15,22,75,6,22,0,2005,17,5,16,55,24,26,11,22,20,0,10,26,83,11,16,1454
144,18,6,28,49,19,23,5,17,8,11,21,59,5,21,1,2006,9,2,21,60,19,21,4,20,14,0,15,21,60,11,11,1437
138,9,3,17,55,21,21,6,11,7,16,17,55,6,9,0,2007,12,7,21,52,16,22,4,19,14,0,17,14,62,6,10,1207
137,13,3,17,55,23,18,6,14,13,13,21,55,5,15,0,2009,19,6,24,51,9,27,4,19,14,0,11,18,72,7,13,1425
137,10,3,19,51,25,18,9,12,8,6,16,53,6,12,0,2011,19,1,29,57,20,29,9,8,5,0,11,13,72,5,14,1242
137,11,1,25,58,18,26,7,19,14,11,25,73,12,18,0,2006,17,1,24,52,21,23,11,32,20,1,11,17,77,6,16,1242
139,11,2,26,61,20,25,6,11,10,12,23,66,2,14,0,2006,14,2,24,59,6,22,2,32,26,1,16,16,72,8,8,1338
143,6,3,21,60,16,20,5,27,19,14,18,64,4,17,0,2006,11,7,30,60,15,31,6,18,12,0,11,18,80,10,13,1272
137,14,3,26,46,11,20,1,27,22,8,15,63,5,13,0,2005,17,1,21,55,31,22,8,16,12,1,9,21,64,10,9,1242
137,13,4,20,47,12,19,2,24,15,12,15,55,4,13,0,2006,10,2,21,44,21,17,11,18,14,1,8,17,59,10,14,1116
139,13,2,22,50,15,23,5,14,11,7,24,62,4,10,0,2005,14,1,22,46,17,21,7,29,22,0,8,12,71,5,7,1458
139,8,0,22,41,12,15,2,29,24,11,20,56,4,19,0,2006,15,2,18,48,16,23,7,26,19,0,7,20,72,10,9,1272
136,6,1,22,51,21,16,7,15,13,1,10,52,3,5,0,2011,20,6,36,66,24,32,9,9,8,0,13,13,81,5,6,1163
136,13,4,28,62,16,23,5,8,5,9,20,56,0,9,0,2013,8,3,31,55,17,20,3,28,25,0,10,12,68,6,5,1139
137,12,3,22,44,16,20,6,25,16,8,24,62,4,17,0,2015,11,1,22,49,16,22,5,27,19,0,9,25,68,7,12,1452
136,8,1,23,59,26,23,10,22,16,8,26,72,4,10,0,2016,9,6,33,54,15,24,5,34,26,0,11,18,79,5,14,1274
137,10,4,22,44,21,16,6,14,8,8,13,46,6,10,0,2003,5,0,19,47,18,18,5,8,6,1,7,15,47,3,8,1280
139,13,2,19,54,25,28,11,4,4,8,21,71,8,14,0,2003,21,2,18,52,22,27,14,19,11,1,10,11,79,6,12,1257
136,4,4,22,55,20,18,4,7,6,12,21,46,8,11,0,2007,11,3,26,46,24,19,9,16,10,1,9,15,57,6,11,1330
138,13,8,23,49,11,23,6,15,7,14,13,59,4,17,0,2007,14,0,15,52,26,23,12,6,4,1,8,15,62,10,12,1268
137,8,4,17,48,20,21,6,27,13,13,19,61,5,13,0,2008,18,1,21,53,28,27,15,13,12,1,7,21,81,9,10,1375
136,15,1,24,57,18,24,4,9,7,6,24,59,8,14,0,2010,14,1,24,50,31,23,13,28,18,1,8,13,77,6,10,1431
138,12,3,28,44,14,19,9,12,5,11,17,52,3,18,0,2010,10,1,15,50,20,18,7,19,11,1,7,14,54,6,6,1293
143,12,1,30,48,19,21,7,14,10,8,16,59,4,18,0,2010,9,2,23,52,24,21,6,21,15,1,5,15,63,13,7,1393
145,8,6,18,57,15,22,5,14,7,11,19,56,11,13,0,2010,9,1,29,46,15,21,7,20,14,1,12,16,63,7,20,1243
152,11,4,28,42,11,18,4,18,10,8,21,50,3,16,0,2010,5,2,21,49,21,15,5,24,17,1,11,17,52,12,8,1277
136,8,2,16,45,15,16,5,27,21,13,17,58,9,15,0,2011,11,1,14,54,26,22,7,11,9,1,18,21,60,8,15,1330
138,21,0,26,46,11,26,6,18,12,7,18,70,2,12,0,2011,12,2,17,52,27,24,12,14,11,1,5,18,71,2,6,1338
143,9,3,19,56,29,17,7,19,13,12,20,54,7,11,0,2011,7,2,27,45,18,19,5,26,18,1,10,19,61,8,14,1458
145,10,3,26,57,14,25,3,22,18,8,24,71,6,7,1,2011,8,1,25,60,33,24,9,27,17,1,16,20,74,2,10,1196
152,17,4,26,58,22,23,8,13,8,6,24,62,3,10,0,2011,8,2,32,59,23,21,8,26,20,1,16,16,70,5,9,1433
136,13,4,28,62,16,23,5,8,5,9,20,56,0,9,0,2013,8,3,31,55,17,20,3,28,25,1,10,12,68,6,5,1137
136,7,5,29,50,19,17,6,12,8,12,22,48,4,15,0,2015,11,4,23,48,13,16,4,28,20,1,5,13,56,5,5,1400
136,14,4,22,54,18,25,7,9,4,6,16,61,8,14,0,2016,14,2,26,51,17,25,9,16,12,1,8,14,71,10,14,1403
144,10,2,14,43,13,19,4,17,12,7,18,54,7,13,0,2003,15,1,20,55,10,27,4,12,7,0,19,18,65,6,13,1328
144,8,0,14,50,19,20,7,13,10,11,25,57,7,9,0,2007,9,6,21,34,19,17,8,28,23,0,6,16,65,1,13,1196
139,11,1,24,61,26,22,9,28,18,15,25,71,11,14,1,2008,12,3,30,59,19,26,5,29,19,0,16,24,76,5,20,1397
136,12,1,21,52,23,22,8,26,19,13,20,71,3,15,0,2009,14,8,21,55,14,27,6,21,15,0,9,20,75,11,11,1261
154,7,0,21,58,18,20,6,18,13,14,18,59,4,8,0,2010,12,7,26,52,17,23,5,16,10,0,11,14,61,5,12,1181
154,5,2,21,64,33,12,9,14,8,20,17,41,8,6,0,2011,6,10,36,55,11,19,1,16,14,0,17,15,53,4,11,1163
138,13,8,21,56,24,24,11,19,13,12,20,72,7,15,0,2013,9,4,21,54,12,23,5,27,23,0,14,17,74,9,15,1266
138,8,5,23,63,13,21,4,21,18,13,15,64,8,7,1,2015,9,8,31,51,20,22,6,22,17,0,9,16,67,4,13,1323
138,9,1,18,54,15,25,7,17,12,4,17,69,7,4,0,2016,11,2,26,52,10,29,2,21,17,0,6,13,77,3,9,1438
136,15,4,25,78,32,34,10,19,14,20,24,92,7,21,2,2010,11,2,23,65,23,32,10,32,25,1,10,17,99,12,12,1196
136,12,4,29,56,19,22,4,24,18,7,20,66,4,13,0,2011,14,1,29,61,22,24,6,24,20,1,10,22,74,9,10,1459
138,18,5,24,57,9,24,2,21,17,12,19,67,4,15,0,2011,17,6,23,59,28,31,14,15,13,1,4,19,89,10,8,1211
134,19,3,28,70,25,31,6,8,4,8,19,72,10,18,0,2012,21,7,33,62,20,30,7,20,11,1,10,14,78,9,20,1233
136,11,4,26,64,17,20,2,13,11,15,22,53,8,11,0,2003,8,8,29,52,14,17,4,27,20,0,12,16,58,3,14,1163
136,19,1,21,55,26,26,10,19,13,15,23,75,2,9,0,2004,12,4,18,46,16,24,11,28,21,0,5,15,80,2,7,1393
136,10,2,21,67,19,29,9,13,10,15,23,77,2,10,0,2007,12,4,24,56,17,24,8,29,23,0,13,19,79,3,10,1462
136,13,1,17,54,22,24,7,14,7,8,15,62,6,7,0,2008,18,0,28,46,16,25,8,17,9,0,9,15,67,2,13,1401
136,15,1,19,59,16,23,7,18,13,7,20,66,11,10,0,2009,20,6,28,52,17,30,6,19,13,0,7,15,79,2,14,1401
138,12,2,20,53,16,21,5,28,25,9,24,72,7,13,0,2010,14,3,24,56,27,23,11,30,27,0,15,20,84,7,15,1243
143,13,1,30,71,37,25,10,16,14,12,19,74,11,12,1,2011,23,5,35,65,34,31,11,22,10,0,10,12,83,8,15,1196
136,16,6,25,61,19,23,7,22,15,9,22,68,8,17,0,2012,19,3,32,66,20,30,9,26,19,0,16,20,88,7,16,1266
136,14,0,20,61,19,20,5,30,23,12,25,68,4,9,0,2014,21,4,29,54,13,27,2,38,31,0,8,22,87,4,8,1332
134,22,2,33,58,29,28,15,27,19,6,23,90,0,15,0,2015,24,6,27,80,23,36,7,23,15,0,16,21,94,7,7,1279
136,20,6,17,60,17,27,7,17,12,14,21,73,6,21,0,2003,15,1,20,53,7,29,3,25,18,1,11,19,79,13,18,1166
138,8,2,19,57,17,21,8,14,10,14,14,60,4,21,0,2003,14,9,23,52,15,32,10,16,12,0,4,18,86,15,11,1181
135,12,1,16,50,13,24,4,22,17,11,23,69,3,13,0,2014,15,4,18,51,15,29,6,22,17,1,10,20,81,4,10,1411
137,5,1,21,58,28,12,5,18,8,13,17,37,7,6,0,2014,17,6,35,50,19,23,6,21,12,0,11,17,64,4,12,1455
136,16,8,26,56,21,25,9,20,15,10,19,74,5,14,1,2003,17,2,20,64,20,27,7,23,15,1,18,14,76,8,13,1301
137,13,1,22,60,19,26,5,9,5,15,19,62,9,15,0,2010,17,3,21,51,15,26,8,22,17,1,7,14,77,8,14,1257
136,11,6,30,59,20,19,6,26,17,12,20,61,3,12,0,2013,18,5,33,59,11,26,5,16,7,1,8,19,64,7,11,1424
138,6,4,18,52,16,27,5,12,6,6,23,65,5,9,0,2003,16,2,23,51,13,26,7,24,15,0,13,15,74,2,12,1328
137,9,1,17,47,16,20,5,10,7,9,18,52,7,13,0,2006,10,1,18,42,16,21,5,17,11,0,7,15,58,5,11,1301
136,12,2,21,59,24,25,7,19,14,14,22,71,2,14,0,2009,18,1,20,63,16,31,6,24,16,0,16,17,84,5,9,1268
139,6,1,24,48,12,19,3,16,12,9,18,53,3,11,0,2010,11,5,23,57,17,27,3,17,11,0,11,15,68,4,5,1181
135,10,2,19,58,14,21,3,14,9,12,14,54,1,7,0,2012,15,4,27,49,15,28,5,8,4,0,5,14,65,3,11,1378
138,14,2,21,56,21,22,4,19,12,13,24,60,6,17,0,2013,7,3,23,46,10,18,4,41,26,0,14,16,66,10,15,1393
137,6,1,26,56,19,23,3,26,17,12,24,66,3,16,0,2016,8,3,27,52,14,27,3,25,20,0,2,25,77,3,11,1218
136,8,3,21,53,26,19,10,10,9,6,12,57,4,12,0,2007,14,2,26,54,20,28,11,18,11,0,9,5,78,5,10,1326
136,14,4,20,58,24,25,6,21,17,13,20,73,11,14,0,2004,17,2,22,59,11,29,4,18,14,0,14,16,76,7,16,1403
137,11,2,24,58,21,23,8,14,9,12,18,63,8,20,0,2005,14,8,22,59,19,26,4,22,19,0,11,10,75,14,16,1301
136,12,1,24,52,20,21,6,9,6,11,19,54,5,22,0,2005,16,2,22,58,28,24,8,21,14,0,15,12,70,10,15,1448
136,11,2,25,66,25,17,5,10,8,9,27,47,5,19,0,2009,28,6,41,71,24,37,6,39,23,0,17,11,103,12,10,1163
136,9,2,15,59,17,28,3,18,15,9,19,74,7,15,0,2016,23,5,22,57,16,37,10,19,15,0,8,16,99,10,12,1231
137,14,3,21,74,23,29,6,20,13,17,14,77,11,6,0,2004,22,11,33,62,32,29,13,11,9,1,12,19,80,3,17,1190
136,5,1,27,59,17,20,5,25,19,16,20,64,6,11,0,2005,18,8,27,57,18,27,9,22,13,1,9,19,76,5,8,1234
136,15,3,16,63,19,24,6,13,9,15,18,63,7,9,0,2011,14,2,23,54,11,29,4,22,16,1,13,15,78,3,11,1281
137,11,5,24,57,20,20,7,14,12,10,15,59,6,11,0,2012,17,4,28,59,16,27,3,16,8,1,12,16,65,4,9,1400
139,11,8,21,50,17,19,6,15,12,10,20,56,5,17,0,2012,13,5,23,50,15,19,5,23,19,1,10,18,62,13,15,1199
136,13,1,30,72,26,26,4,15,9,21,18,65,5,12,1,2015,9,5,27,61,10,25,4,21,12,1,11,16,66,8,9,1345
136,13,6,22,66,27,26,10,10,7,13,24,69,7,10,0,2003,12,2,28,47,14,20,6,37,28,0,8,15,74,2,12,1211
139,14,5,20,58,16,27,7,11,7,14,14,68,1,13,0,2004,26,1,19,55,19,35,11,14,11,0,2,14,92,9,4,1228
138,10,4,21,61,26,20,7,19,13,16,19,60,4,10,0,2005,16,5,29,49,12,25,7,18,12,0,7,17,69,7,15,1246
138,12,2,16,55,14,22,4,14,10,9,19,58,5,8,0,2011,10,3,26,44,16,19,6,30,25,0,9,13,69,3,9,1163
143,8,5,21,56,23,26,9,8,5,8,21,66,5,18,0,2012,14,1,23,56,17,27,8,27,19,0,12,11,81,13,11,1326
137,12,4,17,64,20,27,5,9,4,14,21,63,9,9,0,2013,16,2,25,42,15,19,7,25,22,0,7,11,67,2,16,1166
